"","new.dyad","dyad","bat1","bat2","duration","obs.time","assoc","period"
"1","familiar","add_addld","add","addld",90,1440,0.0625347222222222,24
"2","familiar","add_addldd","add","addldd",400,1440,0.277893518518519,24
"3","familiar","add_adld","add","adld",136,1440,0.0941319444444444,24
"4","familiar","add_adldd","add","adldd",45,1440,0.0312615740740741,24
"5","familiar","add_aldd","add","aldd",668,1440,0.464085648148148,24
"6","familiar","add_ax","add","ax",616,1440,0.427592592592593,24
"7","familiar","addld_addldd","addld","addldd",900,1440,0.625243055555556,24
"8","familiar","addld_adld","addld","adld",135,1440,0.0937847222222222,24
"9","familiar","addld_adldd","addld","adldd",181,1440,0.125393518518519,24
"10","familiar","addld_aldd","addld","aldd",810,1440,0.562719907407407,24
"11","familiar","addld_ax","addld","ax",794,1440,0.551261574074074,24
"12","familiar","addldd_adld","addldd","adld",45,1440,0.0312615740740741,24
"13","familiar","addldd_adldd","addldd","adldd",90,1440,0.0625231481481481,24
"14","familiar","addldd_aldd","addldd","aldd",1080,1440,0.750277777777778,24
"15","familiar","addldd_ax","addldd","ax",146,1440,0.101087962962963,24
"16","familiar","adld_adldd","adld","adldd",250,1440,0.17369212962963,24
"17","familiar","adld_aldd","adld","aldd",193,1440,0.133738425925926,24
"18","familiar","adld_ax","adld","ax",270,1440,0.187569444444444,24
"19","familiar","adldd_aldd","adldd","aldd",270,1440,0.187569444444444,24
"20","familiar","adldd_ax","adldd","ax",184,1440,0.127835648148148,24
"21","familiar","aldd_ax","aldd","ax",767,1440,0.532488425925926,24
"22","familiar","bdlx_bey","bdlx","bey",270,1440,0.187569444444444,24
"23","familiar","bdlx_blx","bdlx","blx",676,1440,0.469270833333333,24
"24","familiar","bdlx_bs","bdlx","bs",181,1440,0.125740740740741,24
"25","familiar","bdlx_bxdlx","bdlx","bxdlx",45,1440,0.0312615740740741,24
"26","familiar","bdlx_bxx","bdlx","bxx",135,1440,0.0937847222222222,24
"27","familiar","bey_blx","bey","blx",45,1440,0.0312615740740741,24
"28","familiar","bey_bs","bey","bs",585,1440,0.406400462962963,24
"29","familiar","bey_bxdlx","bey","bxdlx",315,1440,0.218831018518519,24
"30","familiar","bey_bxx","bey","bxx",720,1440,0.500185185185185,24
"31","familiar","blx_bs","blx","bs",15,1440,0.0100810185185185,24
"32","familiar","blx_bxx","blx","bxx",90,1440,0.0625231481481481,24
"33","familiar","bs_bxdlx","bs","bxdlx",225,1440,0.15630787037037,24
"34","familiar","bs_bxx","bs","bxx",450,1440,0.312615740740741,24
"35","familiar","bxdlx_bxx","bxdlx","bxx",675,1440,0.468923611111111,24
"36","familiar","cdw_cfd","cdw","cfd",225,1440,0.15630787037037,24
"37","familiar","cdw_cldw","cdw","cldw",135,1440,0.0937847222222222,24
"38","familiar","cdw_clw","cdw","clw",315,1440,0.218831018518519,24
"39","familiar","cdw_cnone","cdw","cnone",321,1440,0.222662037037037,24
"40","familiar","cdw_cwd","cdw","cwd",318,1440,0.220578703703704,24
"41","familiar","cdw_cww","cdw","cww",586,1440,0.406747685185185,24
"42","familiar","cfd_cldw","cfd","cldw",364,1440,0.252881944444444,24
"43","familiar","cfd_clw","cfd","clw",160,1440,0.111157407407407,24
"44","familiar","cfd_cnone","cfd","cnone",308,1440,0.213969907407407,24
"45","familiar","cfd_cwd","cfd","cwd",185,1440,0.128530092592593,24
"46","familiar","cfd_cww","cfd","cww",326,1440,0.226134259259259,24
"47","familiar","cldw_clw","cldw","clw",180,1440,0.125046296296296,24
"48","familiar","cldw_cnone","cldw","cnone",575,1440,0.399456018518519,24
"49","familiar","cldw_cwd","cldw","cwd",225,1440,0.15630787037037,24
"50","familiar","cldw_cww","cldw","cww",617,1440,0.428634259259259,24
"51","familiar","clw_cnone","clw","cnone",225,1440,0.15630787037037,24
"52","familiar","clw_cwd","clw","cwd",225,1440,0.15630787037037,24
"53","familiar","clw_cww","clw","cww",675,1440,0.468923611111111,24
"54","familiar","cnone_cwd","cnone","cwd",470,1440,0.326516203703704,24
"55","familiar","cnone_cww","cnone","cww",405,1440,0.281354166666667,24
"56","familiar","cwd_cww","cwd","cww",676,1440,0.469618055555556,24
"57","unfamiliar","add_bdlx","add","bdlx",90,1440,0.0625231481481481,24
"58","unfamiliar","add_bey","add","bey",45,1440,0.0312615740740741,24
"59","unfamiliar","add_bxdlx","add","bxdlx",45,1440,0.0312615740740741,24
"60","unfamiliar","add_bxx","add","bxx",45,1440,0.0312615740740741,24
"61","unfamiliar","add_cdw","add","cdw",315,1440,0.218831018518519,24
"62","unfamiliar","add_cfd","add","cfd",19,1440,0.0128587962962963,24
"63","unfamiliar","add_cldw","add","cldw",90,1440,0.0625231481481481,24
"64","unfamiliar","add_clw","add","clw",45,1440,0.0312615740740741,24
"65","unfamiliar","addld_bdlx","addld","bdlx",283,1440,0.19662037037037,24
"66","unfamiliar","addld_bey","addld","bey",225,1440,0.15630787037037,24
"67","unfamiliar","addld_bs","addld","bs",45,1440,0.0312615740740741,24
"68","unfamiliar","addld_bxx","addld","bxx",90,1440,0.0625231481481481,24
"69","unfamiliar","addld_cdw","addld","cdw",316,1440,0.219178240740741,24
"70","unfamiliar","addld_cldw","addld","cldw",45,1440,0.0312615740740741,24
"71","unfamiliar","addld_clw","addld","clw",45,1440,0.0312615740740741,24
"72","unfamiliar","addld_cwd","addld","cwd",141,1440,0.0976157407407407,24
"73","unfamiliar","addld_cww","addld","cww",90,1440,0.0625231481481481,24
"74","unfamiliar","addldd_bdlx","addldd","bdlx",90,1440,0.0625231481481481,24
"75","unfamiliar","addldd_bs","addldd","bs",45,1440,0.0312615740740741,24
"76","unfamiliar","addldd_bxdlx","addldd","bxdlx",45,1440,0.0312615740740741,24
"77","unfamiliar","addldd_cdw","addldd","cdw",90,1440,0.0625231481481481,24
"78","unfamiliar","addldd_cldw","addldd","cldw",45,1440,0.0312615740740741,24
"79","unfamiliar","addldd_clw","addldd","clw",45,1440,0.0312615740740741,24
"80","unfamiliar","addldd_cwd","addldd","cwd",47,1440,0.0323032407407407,24
"81","unfamiliar","addldd_cww","addldd","cww",45,1440,0.0312615740740741,24
"82","unfamiliar","adld_bdlx","adld","bdlx",135,1440,0.0937847222222222,24
"83","unfamiliar","adld_bs","adld","bs",405,1440,0.281354166666667,24
"84","unfamiliar","adld_bxdlx","adld","bxdlx",128,1440,0.0889236111111111,24
"85","unfamiliar","adld_cdw","adld","cdw",540,1440,0.375138888888889,24
"86","unfamiliar","adld_cldw","adld","cldw",191,1440,0.132696759259259,24
"87","unfamiliar","adld_clw","adld","clw",180,1440,0.125046296296296,24
"88","unfamiliar","adld_cnone","adld","cnone",180,1440,0.125046296296296,24
"89","unfamiliar","adld_cwd","adld","cwd",116,1440,0.0802430555555556,24
"90","unfamiliar","adld_cww","adld","cww",180,1440,0.125046296296296,24
"91","unfamiliar","adldd_bdlx","adldd","bdlx",329,1440,0.228217592592593,24
"92","unfamiliar","adldd_bey","adldd","bey",496,1440,0.344571759259259,24
"93","unfamiliar","adldd_blx","adldd","blx",45,1440,0.0312615740740741,24
"94","unfamiliar","adldd_bs","adldd","bs",271,1440,0.187928240740741,24
"95","unfamiliar","adldd_bxdlx","adldd","bxdlx",68,1440,0.0472453703703704,24
"96","unfamiliar","adldd_bxx","adldd","bxx",225,1440,0.15630787037037,24
"97","unfamiliar","adldd_cdw","adldd","cdw",87,1440,0.0604398148148148,24
"98","unfamiliar","adldd_cfd","adldd","cfd",180,1440,0.125046296296296,24
"99","unfamiliar","adldd_cldw","adldd","cldw",45,1440,0.0312615740740741,24
"100","unfamiliar","adldd_cnone","adldd","cnone",45,1440,0.0312615740740741,24
"101","unfamiliar","adldd_cwd","adldd","cwd",454,1440,0.31505787037037,24
"102","unfamiliar","adldd_cww","adldd","cww",135,1440,0.0937847222222222,24
"103","unfamiliar","aldd_bdlx","aldd","bdlx",136,1440,0.0945023148148148,24
"104","unfamiliar","aldd_bey","aldd","bey",451,1440,0.312962962962963,24
"105","unfamiliar","aldd_blx","aldd","blx",180,1440,0.125046296296296,24
"106","unfamiliar","aldd_bs","aldd","bs",137,1440,0.0948263888888889,24
"107","unfamiliar","aldd_bxx","aldd","bxx",315,1440,0.218831018518519,24
"108","unfamiliar","aldd_cdw","aldd","cdw",540,1440,0.375138888888889,24
"109","unfamiliar","aldd_cfd","aldd","cfd",116,1440,0.0802430555555556,24
"110","unfamiliar","aldd_cldw","aldd","cldw",45,1440,0.0312615740740741,24
"111","unfamiliar","aldd_clw","aldd","clw",181,1440,0.125740740740741,24
"112","unfamiliar","aldd_cnone","aldd","cnone",316,1440,0.219178240740741,24
"113","unfamiliar","aldd_cwd","aldd","cwd",90,1440,0.0625231481481481,24
"114","unfamiliar","aldd_cww","aldd","cww",271,1440,0.187916666666667,24
"115","unfamiliar","ax_bdlx","ax","bdlx",327,1440,0.227175925925926,24
"116","unfamiliar","ax_bey","ax","bey",405,1440,0.281354166666667,24
"117","unfamiliar","ax_bs","ax","bs",90,1440,0.0625231481481481,24
"118","unfamiliar","ax_bxdlx","ax","bxdlx",171,1440,0.118796296296296,24
"119","unfamiliar","ax_bxx","ax","bxx",123,1440,0.0851041666666667,24
"120","unfamiliar","ax_cdw","ax","cdw",225,1440,0.15630787037037,24
"121","unfamiliar","ax_cfd","ax","cfd",91,1440,0.0628703703703704,24
"122","unfamiliar","ax_cldw","ax","cldw",180,1440,0.125046296296296,24
"123","unfamiliar","ax_clw","ax","clw",271,1440,0.187916666666667,24
"124","unfamiliar","ax_cnone","ax","cnone",270,1440,0.187222222222222,24
"125","unfamiliar","ax_cwd","ax","cwd",172,1440,0.119143518518519,24
"126","unfamiliar","ax_cww","ax","cww",315,1440,0.218831018518519,24
"127","unfamiliar","bdlx_cdw","bdlx","cdw",45,1440,0.0312615740740741,24
"128","unfamiliar","bdlx_cfd","bdlx","cfd",16,1440,0.010775462962963,24
"129","unfamiliar","bdlx_cldw","bdlx","cldw",180,1440,0.125046296296296,24
"130","unfamiliar","bdlx_clw","bdlx","clw",254,1440,0.176458333333333,24
"131","unfamiliar","bdlx_cnone","bdlx","cnone",676,1440,0.469270833333333,24
"132","unfamiliar","bdlx_cwd","bdlx","cwd",359,1440,0.249050925925926,24
"133","unfamiliar","bdlx_cww","bdlx","cww",181,1440,0.125393518518519,24
"134","unfamiliar","bey_cdw","bey","cdw",90,1440,0.0625231481481481,24
"135","unfamiliar","bey_clw","bey","clw",45,1440,0.0312615740740741,24
"136","unfamiliar","bey_cnone","bey","cnone",135,1440,0.0937847222222222,24
"137","unfamiliar","bey_cwd","bey","cwd",586,1440,0.406747685185185,24
"138","unfamiliar","blx_cfd","blx","cfd",45,1440,0.0312615740740741,24
"139","unfamiliar","blx_cldw","blx","cldw",13,1440,0.00869212962962963,24
"140","unfamiliar","blx_cnone","blx","cnone",540,1440,0.375138888888889,24
"141","unfamiliar","blx_cww","blx","cww",45,1440,0.0312615740740741,24
"142","unfamiliar","bs_cdw","bs","cdw",495,1440,0.343877314814815,24
"143","unfamiliar","bs_cfd","bs","cfd",225,1440,0.15630787037037,24
