"","new.dyad","dyad","bat1","bat2","duration","obs.time","assoc","period"
"1","familiar","add_addld","add","addld",0,480,3.47222222222222e-05,8
"2","familiar","add_addldd","add","addldd",85,480,0.1771875,8
"3","familiar","add_adldd","add","adldd",45,480,0.0937847222222222,8
"4","familiar","add_aldd","add","aldd",274,480,0.570069444444444,8
"5","familiar","add_ax","add","ax",211,480,0.438715277777778,8
"6","familiar","addld_addldd","addld","addldd",315,480,0.656527777777778,8
"7","familiar","addld_adld","addld","adld",90,480,0.187569444444444,8
"8","familiar","addld_adldd","addld","adldd",136,480,0.282395833333333,8
"9","familiar","addld_aldd","addld","aldd",405,480,0.844097222222222,8
"10","familiar","addld_ax","addld","ax",90,480,0.187569444444444,8
"11","familiar","addldd_adld","addldd","adld",45,480,0.0937847222222222,8
"12","familiar","addldd_adldd","addldd","adldd",90,480,0.187569444444444,8
"13","familiar","addldd_aldd","addldd","aldd",450,480,0.937847222222222,8
"14","familiar","adld_adldd","adld","adldd",135,480,0.281354166666667,8
"15","familiar","adld_aldd","adld","aldd",45,480,0.0937847222222222,8
"16","familiar","adld_ax","adld","ax",90,480,0.187569444444444,8
"17","familiar","adldd_aldd","adldd","aldd",225,480,0.468923611111111,8
"18","familiar","adldd_ax","adldd","ax",184,480,0.383506944444444,8
"19","familiar","aldd_ax","aldd","ax",135,480,0.281354166666667,8
"20","familiar","bdlx_blx","bdlx","blx",45,480,0.0937847222222222,8
"21","familiar","bdlx_bs","bdlx","bs",45,480,0.0937847222222222,8
"22","familiar","bdlx_bxdlx","bdlx","bxdlx",45,480,0.0937847222222222,8
"23","familiar","bey_blx","bey","blx",45,480,0.0937847222222222,8
"24","familiar","bey_bs","bey","bs",45,480,0.0937847222222222,8
"25","familiar","blx_bs","blx","bs",15,480,0.0302430555555556,8
"26","familiar","bs_bxdlx","bs","bxdlx",45,480,0.0937847222222222,8
"27","familiar","bxdlx_bxx","bxdlx","bxx",90,480,0.187569444444444,8
"28","familiar","cdw_cfd","cdw","cfd",135,480,0.281354166666667,8
"29","familiar","cdw_cldw","cdw","cldw",45,480,0.0937847222222222,8
"30","familiar","cdw_clw","cdw","clw",315,480,0.656493055555556,8
"31","familiar","cdw_cnone","cdw","cnone",180,480,0.375138888888889,8
"32","familiar","cdw_cwd","cdw","cwd",318,480,0.661736111111111,8
"33","familiar","cdw_cww","cdw","cww",496,480,1.03267361111111,8
"34","familiar","cfd_cldw","cfd","cldw",136,480,0.282395833333333,8
"35","familiar","cfd_clw","cfd","clw",115,480,0.238645833333333,8
"36","familiar","cfd_cnone","cfd","cnone",308,480,0.641909722222222,8
"37","familiar","cfd_cwd","cfd","cwd",140,480,0.291805555555556,8
"38","familiar","cfd_cww","cfd","cww",326,480,0.678402777777778,8
"39","familiar","cldw_clw","cldw","clw",180,480,0.375138888888889,8
"40","familiar","cldw_cnone","cldw","cnone",350,480,0.729444444444444,8
"41","familiar","cldw_cwd","cldw","cwd",135,480,0.281354166666667,8
"42","familiar","cldw_cww","cldw","cww",405,480,0.8440625,8
"43","familiar","clw_cnone","clw","cnone",225,480,0.468923611111111,8
"44","familiar","clw_cwd","clw","cwd",225,480,0.468923611111111,8
"45","familiar","clw_cww","clw","cww",450,480,0.937847222222222,8
"46","familiar","cnone_cwd","cnone","cwd",335,480,0.698194444444444,8
"47","familiar","cnone_cww","cnone","cww",360,480,0.750277777777778,8
"48","familiar","cwd_cww","cwd","cww",496,480,1.03267361111111,8
"49","unfamiliar","add_bxdlx","add","bxdlx",45,480,0.0937847222222222,8
"50","unfamiliar","add_cfd","add","cfd",19,480,0.0385763888888889,8
"51","unfamiliar","addld_bdlx","addld","bdlx",215,480,0.447048611111111,8
"52","unfamiliar","addld_bey","addld","bey",90,480,0.187569444444444,8
"53","unfamiliar","addld_bs","addld","bs",45,480,0.0937847222222222,8
"54","unfamiliar","addld_cdw","addld","cdw",45,480,0.0937847222222222,8
"55","unfamiliar","addld_cldw","addld","cldw",45,480,0.0937847222222222,8
"56","unfamiliar","addld_clw","addld","clw",45,480,0.0937847222222222,8
"57","unfamiliar","addld_cwd","addld","cwd",141,480,0.292847222222222,8
"58","unfamiliar","addld_cww","addld","cww",90,480,0.187569444444444,8
"59","unfamiliar","addldd_bdlx","addldd","bdlx",90,480,0.187569444444444,8
"60","unfamiliar","addldd_bs","addldd","bs",45,480,0.0937847222222222,8
"61","unfamiliar","addldd_cldw","addldd","cldw",45,480,0.0937847222222222,8
"62","unfamiliar","addldd_clw","addldd","clw",45,480,0.0937847222222222,8
