"","new.dyad","dyad","bat1","bat2","duration","obs.time","assoc","period"
"1","familiar","add_addld","add","addld",0,720,2.31481481481481e-05,12
"2","familiar","add_addldd","add","addldd",265,720,0.368217592592593,12
"3","familiar","add_adldd","add","adldd",45,720,0.0625231481481481,12
"4","familiar","add_aldd","add","aldd",454,720,0.630138888888889,12
"5","familiar","add_ax","add","ax",346,720,0.480046296296296,12
"6","familiar","addld_addldd","addld","addldd",765,720,1.06291666666667,12
"7","familiar","addld_adld","addld","adld",90,720,0.125046296296296,12
"8","familiar","addld_adldd","addld","adldd",136,720,0.188263888888889,12
"9","familiar","addld_aldd","addld","aldd",540,720,0.750300925925926,12
"10","familiar","addld_ax","addld","ax",254,720,0.35224537037037,12
"11","familiar","addldd_adld","addldd","adld",45,720,0.0625231481481481,12
"12","familiar","addldd_adldd","addldd","adldd",90,720,0.125046296296296,12
"13","familiar","addldd_aldd","addldd","aldd",675,720,0.937847222222222,12
"14","familiar","addldd_ax","addldd","ax",56,720,0.0771296296296296,12
"15","familiar","adld_adldd","adld","adldd",160,720,0.222337962962963,12
"16","familiar","adld_aldd","adld","aldd",103,720,0.142430555555556,12
"17","familiar","adld_ax","adld","ax",180,720,0.250092592592593,12
"18","familiar","adldd_aldd","adldd","aldd",225,720,0.312615740740741,12
"19","familiar","adldd_ax","adldd","ax",184,720,0.255671296296296,12
"20","familiar","aldd_ax","aldd","ax",405,720,0.562708333333333,12
"21","familiar","bdlx_blx","bdlx","blx",225,720,0.312615740740741,12
"22","familiar","bdlx_bs","bdlx","bs",91,720,0.125740740740741,12
"23","familiar","bdlx_bxdlx","bdlx","bxdlx",45,720,0.0625231481481481,12
"24","familiar","bey_blx","bey","blx",45,720,0.0625231481481481,12
"25","familiar","bey_bs","bey","bs",225,720,0.312615740740741,12
"26","familiar","bey_bxdlx","bey","bxdlx",180,720,0.250092592592593,12
"27","familiar","bey_bxx","bey","bxx",270,720,0.375138888888889,12
"28","familiar","blx_bs","blx","bs",15,720,0.020162037037037,12
"29","familiar","bs_bxdlx","bs","bxdlx",45,720,0.0625231481481481,12
"30","familiar","bs_bxx","bs","bxx",90,720,0.125046296296296,12
"31","familiar","bxdlx_bxx","bxdlx","bxx",360,720,0.500185185185185,12
"32","familiar","cdw_cfd","cdw","cfd",135,720,0.187569444444444,12
"33","familiar","cdw_cldw","cdw","cldw",135,720,0.187569444444444,12
"34","familiar","cdw_clw","cdw","clw",315,720,0.437662037037037,12
"35","familiar","cdw_cnone","cdw","cnone",208,720,0.288310185185185,12
"36","familiar","cdw_cwd","cdw","cwd",318,720,0.441157407407407,12
"37","familiar","cdw_cww","cdw","cww",586,720,0.81349537037037,12
"38","familiar","cfd_cldw","cfd","cldw",136,720,0.188263888888889,12
"39","familiar","cfd_clw","cfd","clw",115,720,0.159097222222222,12
"40","familiar","cfd_cnone","cfd","cnone",308,720,0.427939814814815,12
"41","familiar","cfd_cwd","cfd","cwd",140,720,0.194537037037037,12
"42","familiar","cfd_cww","cfd","cww",326,720,0.452268518518519,12
"43","familiar","cldw_clw","cldw","clw",180,720,0.250092592592593,12
"44","familiar","cldw_cnone","cldw","cnone",485,720,0.673865740740741,12
"45","familiar","cldw_cwd","cldw","cwd",135,720,0.187569444444444,12
"46","familiar","cldw_cww","cldw","cww",585,720,0.812800925925926,12
"47","familiar","clw_cnone","clw","cnone",225,720,0.312615740740741,12
"48","familiar","clw_cwd","clw","cwd",225,720,0.312615740740741,12
"49","familiar","clw_cww","clw","cww",450,720,0.625231481481482,12
"50","familiar","cnone_cwd","cnone","cwd",470,720,0.653032407407407,12
"51","familiar","cnone_cww","cnone","cww",360,720,0.500185185185185,12
"52","familiar","cwd_cww","cwd","cww",496,720,0.688449074074074,12
"53","unfamiliar","add_bxdlx","add","bxdlx",45,720,0.0625231481481481,12
"54","unfamiliar","add_cdw","add","cdw",180,720,0.250092592592593,12
"55","unfamiliar","add_cfd","add","cfd",19,720,0.0257175925925926,12
"56","unfamiliar","add_cldw","add","cldw",45,720,0.0625231481481481,12
"57","unfamiliar","addld_bdlx","addld","bdlx",215,720,0.298032407407407,12
"58","unfamiliar","addld_bey","addld","bey",90,720,0.125046296296296,12
"59","unfamiliar","addld_bs","addld","bs",45,720,0.0625231481481481,12
"60","unfamiliar","addld_cdw","addld","cdw",45,720,0.0625231481481481,12
"61","unfamiliar","addld_cldw","addld","cldw",45,720,0.0625231481481481,12
"62","unfamiliar","addld_clw","addld","clw",45,720,0.0625231481481481,12
"63","unfamiliar","addld_cwd","addld","cwd",141,720,0.195231481481481,12
"64","unfamiliar","addld_cww","addld","cww",90,720,0.125046296296296,12
"65","unfamiliar","addldd_bdlx","addldd","bdlx",90,720,0.125046296296296,12
"66","unfamiliar","addldd_bs","addldd","bs",45,720,0.0625231481481481,12
"67","unfamiliar","addldd_cldw","addldd","cldw",45,720,0.0625231481481481,12
"68","unfamiliar","addldd_clw","addldd","clw",45,720,0.0625231481481481,12
"69","unfamiliar","addldd_cwd","addldd","cwd",47,720,0.0646064814814815,12
"70","unfamiliar","addldd_cww","addldd","cww",45,720,0.0625231481481481,12
"71","unfamiliar","adld_bdlx","adld","bdlx",135,720,0.187569444444444,12
"72","unfamiliar","adld_bs","adld","bs",405,720,0.562708333333333,12
"73","unfamiliar","adld_bxdlx","adld","bxdlx",46,720,0.0632175925925926,12
"74","unfamiliar","adld_cdw","adld","cdw",225,720,0.312615740740741,12
"75","unfamiliar","adld_cldw","adld","cldw",191,720,0.265393518518519,12
"76","unfamiliar","adld_clw","adld","clw",180,720,0.250092592592593,12
"77","unfamiliar","adld_cnone","adld","cnone",180,720,0.250092592592593,12
"78","unfamiliar","adld_cwd","adld","cwd",116,720,0.160486111111111,12
"79","unfamiliar","adld_cww","adld","cww",180,720,0.250092592592593,12
"80","unfamiliar","adldd_bdlx","adldd","bdlx",284,720,0.393912037037037,12
"81","unfamiliar","adldd_bey","adldd","bey",225,720,0.312615740740741,12
"82","unfamiliar","adldd_bs","adldd","bs",181,720,0.250810185185185,12
"83","unfamiliar","adldd_bxdlx","adldd","bxdlx",45,720,0.0625231481481481,12
"84","unfamiliar","adldd_bxx","adldd","bxx",45,720,0.0625231481481481,12
"85","unfamiliar","adldd_cfd","adldd","cfd",90,720,0.125046296296296,12
"86","unfamiliar","adldd_cldw","adldd","cldw",45,720,0.0625231481481481,12
"87","unfamiliar","adldd_cnone","adldd","cnone",45,720,0.0625231481481481,12
"88","unfamiliar","adldd_cwd","adldd","cwd",225,720,0.312615740740741,12
"89","unfamiliar","adldd_cww","adldd","cww",135,720,0.187569444444444,12
"90","unfamiliar","aldd_bdlx","aldd","bdlx",90,720,0.125046296296296,12
"91","unfamiliar","aldd_bey","aldd","bey",180,720,0.250092592592593,12
"92","unfamiliar","aldd_cdw","aldd","cdw",180,720,0.250092592592593,12
"93","unfamiliar","aldd_cfd","aldd","cfd",116,720,0.160486111111111,12
"94","unfamiliar","aldd_clw","aldd","clw",91,720,0.126435185185185,12
"95","unfamiliar","aldd_cwd","aldd","cwd",90,720,0.125046296296296,12
"96","unfamiliar","aldd_cww","aldd","cww",271,720,0.375833333333333,12
"97","unfamiliar","ax_bdlx","ax","bdlx",192,720,0.266782407407407,12
"98","unfamiliar","ax_bs","ax","bs",45,720,0.0625231481481481,12
"99","unfamiliar","ax_bxdlx","ax","bxdlx",81,720,0.112546296296296,12
"100","unfamiliar","ax_cdw","ax","cdw",45,720,0.0625231481481481,12
"101","unfamiliar","ax_cfd","ax","cfd",91,720,0.125740740740741,12
"102","unfamiliar","ax_cldw","ax","cldw",180,720,0.250092592592593,12
"103","unfamiliar","ax_clw","ax","clw",271,720,0.375833333333333,12
"104","unfamiliar","ax_cnone","ax","cnone",135,720,0.187569444444444,12
"105","unfamiliar","ax_cwd","ax","cwd",172,720,0.238287037037037,12
"106","unfamiliar","ax_cww","ax","cww",270,720,0.375138888888889,12
"107","unfamiliar","bdlx_cdw","bdlx","cdw",45,720,0.0625231481481481,12
"108","unfamiliar","bdlx_cfd","bdlx","cfd",16,720,0.0215509259259259,12
"109","unfamiliar","bdlx_cldw","bdlx","cldw",45,720,0.0625231481481481,12
"110","unfamiliar","bdlx_clw","bdlx","clw",254,720,0.352916666666667,12
"111","unfamiliar","bdlx_cnone","bdlx","cnone",315,720,0.437662037037037,12
"112","unfamiliar","bdlx_cwd","bdlx","cwd",314,720,0.435578703703704,12
"113","unfamiliar","bdlx_cww","bdlx","cww",136,720,0.188263888888889,12
"114","unfamiliar","bey_cnone","bey","cnone",90,720,0.125046296296296,12
"115","unfamiliar","bey_cwd","bey","cwd",315,720,0.437662037037037,12
"116","unfamiliar","blx_cfd","blx","cfd",45,720,0.0625231481481481,12
"117","unfamiliar","blx_cnone","blx","cnone",45,720,0.0625231481481481,12
"118","unfamiliar","bs_cdw","bs","cdw",495,720,0.68775462962963,12
"119","unfamiliar","bs_cfd","bs","cfd",225,720,0.312615740740741,12
"120","unfamiliar","bs_cldw","bs","cldw",360,720,0.500185185185185,12
"121","unfamiliar","bs_clw","bs","clw",135,720,0.187569444444444,12
"122","unfamiliar","bs_cnone","bs","cnone",180,720,0.250092592592593,12
"123","unfamiliar","bs_cwd","bs","cwd",225,720,0.312615740740741,12
"124","unfamiliar","bs_cww","bs","cww",450,720,0.625231481481482,12
"125","unfamiliar","bxdlx_cdw","bxdlx","cdw",45,720,0.0625231481481481,12
"126","unfamiliar","bxdlx_cfd","bxdlx","cfd",226,720,0.313310185185185,12
"127","unfamiliar","bxdlx_cldw","bxdlx","cldw",225,720,0.312615740740741,12
"128","unfamiliar","bxdlx_clw","bxdlx","clw",97,720,0.134097222222222,12
"129","unfamiliar","bxdlx_cnone","bxdlx","cnone",299,720,0.415439814814815,12
"130","unfamiliar","bxdlx_cwd","bxdlx","cwd",361,720,0.50087962962963,12
